                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3296,                 1.4951,                 1.2733,                0.74144,                0.84564,                0.87043,                0.48411,                  1.364,                 1.4155,                  1.287,              0.0004127,              0.0004127,              0.0004127
                      2,                 1.3649,                  0.985,                 1.3097,                 0.9082,                0.68383,                0.83923,                0.55371,                 1.1719,                 1.0166,                 1.2081,             0.00082115,             0.00082115,             0.00082115
                      3,                 1.3758,                0.94974,                  1.306,                0.89345,                 0.8609,                0.91758,                0.53738,                 1.3764,                 1.2328,                 1.3146,              0.0012214,              0.0012214,              0.0012214
                      4,                 1.3074,                0.85399,                 1.2794,                0.96185,                0.94059,                0.96112,                0.60598,                 1.2208,                0.75107,                 1.1908,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.293,                0.83618,                  1.275,                0.88646,                0.92921,                0.95342,                0.66876,                 1.0172,                0.58716,                 1.1462,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.2218,                0.78436,                 1.2238,                0.93877,                0.96291,                0.98319,                0.68703,                 1.0556,                 0.6495,                 1.1185,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.1842,                0.73478,                  1.206,                0.97042,                0.95213,                0.98815,                0.65551,                 1.0598,                0.63288,                 1.1373,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.1761,                0.71021,                 1.1994,                0.98102,                 0.9551,                0.98873,                 0.7123,                0.98892,                0.58583,                 1.0661,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.1397,                0.69919,                 1.1831,                0.96255,                0.94317,                0.97153,                0.70835,                0.96907,                0.57405,                  1.064,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.1315,                0.68467,                  1.174,                0.98133,                0.95598,                0.99104,                 0.7054,                0.94158,                0.54523,                 1.0671,               0.001151,               0.001151,               0.001151
                     11,                 1.0847,                0.65494,                 1.1635,                 0.9706,                0.97354,                0.99146,                0.73082,                0.93196,                0.50339,                 1.0282,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0926,                0.64273,                 1.1579,                0.97406,                0.98383,                0.99238,                 0.7498,                 0.9072,                0.51899,                 1.0494,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.0873,                 0.6229,                 1.1536,                 0.9771,                0.97545,                0.99282,                0.70142,                 1.0191,                0.50079,                 1.0471,              0.0011139,              0.0011139,              0.0011139
                     14,                  1.053,                0.61494,                 1.1428,                0.97659,                0.96381,                0.98964,                0.73064,                0.90889,                0.49348,                 1.0204,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0449,                0.60381,                 1.1357,                0.98501,                 0.9764,                0.99301,                0.71224,                0.97318,                0.47488,                 1.0302,              0.0010891,              0.0010891,              0.0010891
                     16,                  1.013,                0.58568,                 1.1218,                0.96953,                0.96782,                0.98896,                  0.755,                0.87955,                0.47353,                 1.0197,              0.0010768,              0.0010768,              0.0010768
                     17,                  1.019,                0.57917,                 1.1071,                0.97837,                0.96251,                0.99035,                0.77925,                0.84896,                0.44539,                 1.0015,              0.0010644,              0.0010644,              0.0010644
                     18,                0.97501,                0.55794,                 1.1009,                0.98023,                0.96312,                0.98792,                0.75895,                 0.8836,                0.45132,                 1.0068,               0.001052,               0.001052,               0.001052
                     19,                0.98293,                0.56502,                 1.1047,                0.98385,                0.96609,                0.98841,                0.65196,                 1.1684,                0.51887,                 1.0809,              0.0010396,              0.0010396,              0.0010396
                     20,                 0.9597,                0.55354,                 1.0988,                0.97643,                0.96733,                0.98266,                0.75854,                0.89047,                0.45572,                0.99619,              0.0010273,              0.0010273,              0.0010273
                     21,                0.96768,                0.54255,                 1.0955,                0.97531,                0.97554,                0.99338,                0.75238,                0.87762,                0.45852,                 1.0016,              0.0010149,              0.0010149,              0.0010149
                     22,                0.95334,                0.54182,                 1.0941,                0.98042,                0.96382,                0.99063,                0.72362,                 0.9573,                0.45634,                 1.0044,              0.0010025,              0.0010025,              0.0010025
                     23,                0.95002,                0.53432,                 1.0866,                0.97505,                0.97648,                0.99237,                0.75757,                0.87501,                0.43954,                0.98723,             0.00099013,             0.00099013,             0.00099013
                     24,                0.94431,                0.52456,                  1.079,                0.98223,                0.98744,                0.99364,                0.74781,                0.86663,                0.42751,                0.99322,             0.00097775,             0.00097775,             0.00097775
                     25,                0.91954,                 0.5127,                  1.071,                0.96228,                0.98625,                0.99275,                0.75564,                0.90317,                 0.4378,                0.99523,             0.00096537,             0.00096537,             0.00096537
                     26,                0.93221,                0.52038,                  1.082,                0.98101,                0.96583,                0.98472,                0.76942,                0.83729,                0.42354,                0.97353,               0.000953,               0.000953,               0.000953
                     27,                0.91751,                0.51666,                 1.0705,                0.97069,                0.94918,                0.98747,                0.76378,                0.88483,                0.43208,                0.99914,             0.00094062,             0.00094062,             0.00094062
                     28,                0.90665,                0.50621,                 1.0617,                0.96045,                   0.97,                0.99243,                0.76973,                0.85307,                0.41717,                0.98221,             0.00092825,             0.00092825,             0.00092825
                     29,                0.88248,                0.49224,                 1.0557,                0.97756,                0.96675,                0.99065,                0.76297,                0.84274,                0.40946,                0.97346,             0.00091588,             0.00091588,             0.00091588
                     30,                0.88406,                0.48808,                 1.0501,                0.98077,                0.98715,                0.99412,                0.75739,                 0.8438,                0.41815,                0.98637,              0.0009035,              0.0009035,              0.0009035
                     31,                0.88816,                0.48894,                 1.0579,                0.98302,                0.98529,                0.99366,                0.76822,                0.84242,                0.39615,                0.97429,             0.00089112,             0.00089112,             0.00089112
                     32,                0.85446,                0.47959,                 1.0418,                0.98243,                0.96607,                0.97548,                0.76064,                0.86891,                0.40535,                0.98768,             0.00087875,             0.00087875,             0.00087875
                     33,                 0.8553,                0.47254,                 1.0419,                0.98261,                0.98382,                0.99444,                0.77918,                0.80954,                0.39368,                0.95839,             0.00086637,             0.00086637,             0.00086637
                     34,                0.86397,                0.47781,                 1.0427,                0.98599,                0.96162,                0.99004,                0.75714,                 0.8395,                0.39683,                0.98654,               0.000854,               0.000854,               0.000854
                     35,                0.84648,                0.46986,                 1.0413,                0.99139,                0.99024,                0.99377,                0.75859,                0.82688,                0.37904,                0.96775,             0.00084162,             0.00084162,             0.00084162
                     36,                0.84465,                0.46637,                 1.0382,                0.97534,                0.98393,                0.99304,                0.75531,                 0.8621,                0.40082,                0.98073,             0.00082925,             0.00082925,             0.00082925
                     37,                0.84054,                0.45789,                 1.0285,                0.98459,                0.96922,                0.98493,                0.75527,                0.83058,                 0.3906,                0.97096,             0.00081688,             0.00081688,             0.00081688
                     38,                0.83093,                0.45513,                 1.0286,                0.97819,                0.95579,                0.98164,                0.77261,                0.82148,                 0.3976,                0.96918,              0.0008045,              0.0008045,              0.0008045
                     39,                0.83018,                0.45766,                  1.028,                0.98935,                0.98344,                0.99352,                0.78466,                0.83028,                0.37611,                0.98437,             0.00079213,             0.00079213,             0.00079213
                     40,                0.82316,                0.45527,                  1.025,                0.98098,                0.93134,                0.98861,                0.78664,                0.81495,                0.37808,                0.96695,             0.00077975,             0.00077975,             0.00077975
                     41,                0.81775,                0.45806,                 1.0309,                0.97872,                0.95947,                0.99213,                0.78447,                0.80802,                0.37909,                0.94777,             0.00076738,             0.00076738,             0.00076738
                     42,                0.80797,                0.44216,                 1.0194,                0.96416,                0.99101,                0.99282,                0.77026,                0.84729,                0.37683,                0.97254,               0.000755,               0.000755,               0.000755
                     43,                0.79583,                0.43569,                 1.0171,                0.98401,                0.96557,                0.97513,                0.75643,                0.83226,                0.36491,                0.96998,             0.00074263,             0.00074263,             0.00074263
                     44,                0.79616,                0.43774,                 1.0128,                0.98292,                0.96612,                0.99163,                0.77711,                0.83046,                0.37907,                0.97258,             0.00073025,             0.00073025,             0.00073025
                     45,                0.78534,                 0.4343,                 1.0145,                0.97983,                0.96217,                0.99294,                0.78794,                 0.8036,                0.37721,                0.96604,             0.00071788,             0.00071788,             0.00071788
                     46,                0.79688,                0.44604,                 1.0182,                0.98265,                0.96078,                0.99234,                0.78547,                0.81802,                0.38081,                0.96027,              0.0007055,              0.0007055,              0.0007055
                     47,                0.77155,                0.43037,                 1.0057,                 0.9815,                0.96658,                0.99297,                0.78263,                0.81742,                0.37052,                 0.9673,             0.00069313,             0.00069313,             0.00069313
                     48,                0.77114,                0.42131,                 1.0009,                0.98279,                0.96921,                0.99288,                0.78417,                0.82226,                  0.376,                0.96952,             0.00068075,             0.00068075,             0.00068075
                     49,                0.76031,                0.41126,                  1.003,                 0.9891,                0.97138,                0.99317,                 0.7632,                0.83528,                0.35407,                0.96291,             0.00066838,             0.00066838,             0.00066838
                     50,                0.75416,                0.41632,                 1.0025,                0.97391,                0.97004,                0.99155,                0.77003,                0.83888,                0.36357,                0.98876,               0.000656,               0.000656,               0.000656
                     51,                0.75202,                0.42104,                0.99593,                0.98854,                0.98766,                0.99464,                0.77854,                0.81144,                0.35483,                0.97346,             0.00064362,             0.00064362,             0.00064362
                     52,                0.76895,                0.41814,                 1.0108,                0.98641,                0.96626,                0.99317,                0.77922,                0.80459,                0.35974,                 0.9665,             0.00063125,             0.00063125,             0.00063125
                     53,                0.74229,                0.41063,                0.99258,                0.98005,                0.97101,                0.97851,                0.78536,                0.80997,                0.35124,                0.96099,             0.00061887,             0.00061887,             0.00061887
                     54,                0.73286,                0.41888,                0.99163,                0.98546,                0.98304,                0.99451,                0.78802,                0.79373,                0.34834,                0.95469,              0.0006065,              0.0006065,              0.0006065
                     55,                0.73669,                0.40841,                  0.992,                0.98649,                0.96222,                0.99309,                0.78782,                0.79739,                0.34786,                0.96069,             0.00059413,             0.00059413,             0.00059413
                     56,                0.71636,                0.39621,                 0.9844,                 0.9818,                0.98608,                0.99449,                0.79619,                0.81929,                0.36248,                 0.9758,             0.00058175,             0.00058175,             0.00058175
                     57,                0.71837,                0.40358,                 0.9876,                0.98877,                0.96534,                0.99313,                0.78474,                0.79602,                0.35181,                0.96769,             0.00056938,             0.00056938,             0.00056938
                     58,                0.72766,                0.39973,                0.98884,                0.99175,                0.96826,                0.99321,                0.79055,                0.80442,                0.34602,                0.96598,               0.000557,               0.000557,               0.000557
                     59,                0.72582,                 0.3938,                0.98715,                0.98432,                0.96013,                0.97639,                0.77968,                0.80086,                0.34876,                0.96048,             0.00054463,             0.00054463,             0.00054463
                     60,                0.69525,                0.38401,                0.97192,                0.95483,                0.99105,                0.99292,                0.79028,                0.80437,                0.34849,                0.96229,             0.00053225,             0.00053225,             0.00053225
                     61,                0.69249,                0.38525,                0.96917,                0.98621,                 0.9578,                0.97927,                0.79059,                0.81146,                0.35288,                0.97267,             0.00051988,             0.00051988,             0.00051988
                     62,                0.68541,                0.37928,                0.97392,                0.98733,                0.96588,                0.99265,                0.79056,                0.80719,                0.34966,                0.96701,              0.0005075,              0.0005075,              0.0005075
                     63,                0.68556,                0.38245,                0.97114,                0.98769,                0.96421,                0.99203,                0.79128,                0.81294,                0.35853,                0.97051,             0.00049513,             0.00049513,             0.00049513
                     64,                0.67789,                0.37376,                0.97567,                0.98167,                0.98797,                0.99456,                0.79571,                0.80967,                0.33839,                 0.9718,             0.00048275,             0.00048275,             0.00048275
                     65,                 0.6846,                  0.379,                0.97465,                0.98856,                0.96442,                0.99294,                0.78974,                0.80219,                0.33641,                0.96803,             0.00047038,             0.00047038,             0.00047038
                     66,                0.67586,                 0.3773,                0.96732,                0.98911,                0.96762,                0.99307,                0.77515,                0.79826,                0.34025,                0.96863,               0.000458,               0.000458,               0.000458
